date,type,operator,fatalities,country,cat,year
1999-02-24,Tupolev Tu-154M,China Southwest,61.0,China,A1,1999
1999-02-24,MD-88,Aerolineas Argentinas,0.0,Argentina,O1,1999
1999-02-25,Dornier 328-110,"Minerva Airlines, op.for Alitalia",4.0,Italy,A1,1999
1999-02-27,Beech B100 King Air,Crown Charter Services,0.0,Canada,A1,1999
1999-03-01,Lockheed L-188AF Electra,"Renown Aviation, op.for Channel Express",0.0,Ireland,A1,1999
1999-03-02,Airbus A320,Air France,0.0,France,H2,1999
1999-03-04,Boeing 737-228,Air France,0.0,France,A1,1999
1999-03-04,Douglas DC-9-15F,USA Jet Airlines,0.0,USA,A2,1999
1999-03-05,Boeing 747-2B3F (SCD),Air France,0.0,India,A1,1999
1999-03-05,Swearingen SA226-TC Metro II,Superior Aviation,0.0,USA,A2,1999
1999-03-05,Swearingen SA226-TC Metro II,Superior Aviation,0.0,USA,A2,1999
1999-03-07,Antonov An-32,Indian AF,21.0,India,A1,1999
1999-03-12,Boeing 737-377,Ansett Australia,0.0,Australia,A2,1999
1999-03-15,DC-9-83 (MD-83),Korean Air,0.0,South Korea,A1,1999
1999-03-16,ATR 42-320,Pantanal,0.0,Brazil,A1,1999
1999-03-18,Douglas DC-3C,ALIANSA Colombia,8.0,Colombia,A1,1999
1999-03-19,DHC-6 Twin Otter 300,Provincial Airlines,1.0,Canada,A1,1999
1999-03-20,Yakovlev Yak-40,"Cheboksary Aviation Enterprise, op.for GEASA",0.0,Eq. Guinea,A2,1999
1999-03-24,Airbus A300C4-620,UAE Government,0.0,Greece,A1,1999
1999-03-30,Learjet 35A,Piedmont Hawthorne,0.0,USA,A2,1999
1999-03-30,Embraer EMB-110P1 Bandeirante,META,0.0,Brazil,A2,1999
1999-03-30,Fokker F-28 Fellowship 4000,Air Niugini,0.0,P.N. Guinea,A2,1999
1999-03-30,Cessna 550 Citation II,Flight Consultancy Services Ltd,0.0,U.K.,A2,1999
1999-04-05,DHC-6 Twin Otter 200,Carib-Air Cargo,0.0,USA,A1,1999
1999-04-07,Boeing 737-4Q8,THY,6.0,Turkey,A1,1999
1999-04-07,Learjet 24D,ManacÃ¡ TÃ¡xi AÃ©reo,5.0,Brazil,A1,1999
1999-04-07,Boeing KC-135R,USAF,0.0,USA,O1,1999
1999-04-08,DHC-6 Twin Otter 300,Aerotaca,5.0,Colombia,A1,1999
1999-04-12,Fokker 50,Avianca,0.0,Colombia,H2,1999
1999-04-12,Saab 340B,Business Express,0.0,USA,A2,1999
1999-04-14,Beech A100 King Air,Jet Sul TÃ¡xi AÃ©reo,0.0,Brazil,A1,1999
1999-04-15,MD-11F,Korean Air,8.0,China,A1,1999
1999-04-17,Raytheon Beechjet 400A,Pacific Aeromotive,0.0,USA,A1,1999
1999-04-22,Let L-410UVP,HÃ©lica,0.0,France,A1,1999
1999-04-22,Boeing 727-23,"Million Air Charter, op.for Zimbabwe Express Airlines",0.0,South Africa,A1,1999
1999-04-23,DHC-6 Twin Otter 200,Samoa Aviation,0.0,American Samoa,A2,1999
1999-04-27,DHC-3 Otter,40-Mile Air,0.0,USA,A2,1999
1999-05-01,DHC-5D Buffalo,Kenyan AF,1.0,Kenya,A1,1999
1999-05-01,DHC-3 Otter,Points North Air Services,0.0,Canada,A1,1999
1999-05-06,Canadair Challenger 601-3R,Boeing,0.0,USA,A2,1999
1999-05-08,DHC-6 Twin Otter 300,Vanair,7.0,Vanuatu,A1,1999
1999-05-08,Saab 340B,American Eagle Airlines,0.0,USA,A2,1999
1999-05-10,Boeing 737-247,Mexican AF,0.0,Mexico,A1,1999
1999-05-12,Antonov An-26,"Volga Atlantic Airlines, op.for Avita",0.0,Angola,C1,1999
